Survey_No,Why_Fav_Stop,Why_Least_Fav_Stop,Why_Best_Lylty_Card,Why_Worst_Lylty_Card
210,quick productx stop,customer service,,shower
211,you have low sulfur productx compy didn't have,bad service,anything,nothing
212,,no parking hard to get into.  No restaurant,,
213,"price, truck runs better, clean","not clean, not courteous",more reward points,you lose point
214,short productx lines,does not take comdata,can use each item and platinum account unlimited showers/drinks,no special for platinum use
215,user friendly,congested,convenient,not many benefits
216,its close to home and I like the people there,I don’t care for their restaurants,it starts the productx pump,
217,full service restaurant,no such discount,promotions with double points,showers must be taken off card manually
220,the people are friendly and care about me,bad attitudes,1000 quantps free showers and drink refills for the next month,
221,"clean, courteous",too busy. Don’t care for customers,more days for showers to ?,the showers run out expire @ ?
223,locations,getting in and out,in store products,traffic
225,the people,takes too much time to make purchase,its where I stop,
226,,expensive,,
227,,,,
228,productxer points good for store merch.,prices,good for store merch.,good for showers only and turning on pump
229,"locations, price, access",PR,,
230,,,,
231,"I can call a phone number, identify potential productxing location, and get current cost plus productx pricing",soldom clean,its not the card that is so good; but ways to get points (maintenance as well as productx) and places to use points (restaurants),
232,good quality,poor quality unclean store,customer is given fair points: good system,headache to reedem points
233,restaurants,small,they mail point redemers and have restaurants,
234,Mercev has worked out a cost plus price with compT and competitor compx,,can use points for anything in store or shop,can only use in restaurant or online order
235,"at ""compx"" I can write checks without paying annual fee",,,
238,better people and I can find whatever I need fast,,use your points whenever I wont,
239,easy in and out,no customer service,easy redemption of points,mail it to you
240,,,,
241,"better attitude, cleaner places, better services",attitude,showers credits and coffee credits,you have to register to get it
242,"shorter productx lines, soapy water to clean winsheild, better toilet paper",long lines,free drink with fill up.  Month to month to get free drink and shower for month.  No kiosk to get coupon to use points use loyalty card like credit card,no free drink.  Have to get coupon to use points.  One year to get premium rewards
243,customer service,customer service,getting points when you want,conditions on point usage
244,convenience,not found many,don’t have to buy so many quantps to get points,
245,most convenient,too expensive,buy things he might need,
247,productx price,,,
248,I get the best productx discount there.,,,they don’t give as many points as the other truckstops do.
249,"price, value.  Good productx",,you can buy merchandise,not much to it
250,restaurant service garage service,,,
252,cost a friendliness,no longer takes comdata,double points and can swipe card,
253,subway,,subway,card is not acceptable on service etc. oil change
254,mileage,,everything on food and supplies,
255,coffee better discount off pump price,in out time,,
259,none,no of trucks,none,none
260,full service restaurant,most have old outdated facilities,productx points are avaliable immediately,very limited benefits
261,,cheap productx,free showers,
263,oparking availability.  Some stops don’t have showers,auto productD discounted lower than truck productx,,"have to go to kiosk to print ""redemption coupon"""
264,the people who work there,disregard for customers,access to points,competitor compx because they are not paying all the points
265,friendly and clean,very bad service,shopstops,competitor compx
267,no hassle,worst food,no hassle productx lines and showers,have to wait on card
268,,,,
269,,,,
270,"showers, drinks",parking and service,drinks and showers,cant use points for internet
271,productx economy,productx economy,,showers fall off too fast
272,price,price,showers/rewards,
273,price,rep,food,
275,more parking,they lie,they send you the points,they change their program
276,points and shower also has restaurant,the people and prices service,I can use the point anytime also I have free faxs,they don’t handle cards at the stops
277,"parking, large lot",parking,rewards,rewards
278,I have TCH,no restraunts,for meals,
279,,not friendly,can because on any thing in step,
280,food,?,double points,take points away
281,friendly staff,,unlimited showers drinks - refills,nothing for free
283,clean and quick ? Big showers,bad,up to date,
284,"parking, food",lack of parking,coupons mailed to me monthly,no comment
285,it’s a truck stop not a productx stop,it’s a productx stop only not enough customer ammenities,,
286,quick,,the fact you can use the points on any purchase and food,don’t like the cards you get in the mail.  Too difficult to keep up with
287,many around,long lines,easy,hard to use
288,close to ?,run down,only place I buy productx,not enough points
289,only compy,food,only productx compys,it’s a compT
290,friendlier people,bad showers,the points and showers,have had problems getting all my points
291,buffet restraunt,no discount on productx purchase,some months are double points added for productx purchase,cause all you receive is coupons by mail
292,free coffee,coffee too high,double points,have to get coupon
293,plenty of parking and full service restaurants and truck services and free coffee,"tight, rude people, filthy restrooms","showers never expire, double points for shop work free faxes and copies",showers expire
294,shower,,shower,
295,ULSD productx almost all shopstops have,most compys are hard to get in and out off and no parking,reward points.  Unlimited drinks.  Unlimited showers,have to wait for coupons cant use coupon in store
297,parking,compy no space to park,,
299,points and showers,attitude of employees,unlimited drinks and showers,all of it
300,productxing convenience,no loyalty card,merchandise purchasing,competitor compx - cant use card instantly
301,"sit down restraunt, parking",comdata and merger with compy,24 times points,I never get any points
303,,,ease of cashing in points for store and restaurant,have to wait for points to be mailed to you
304,"price, local, clean","dirty, slow",unlimited showers for purchases,showers expire in 72 hours
307,not walking in to pay for productx,dirty,easy to use,not enough points
308,price,price,,
309,cheaper productx we like the coffee,,platinum service for showers and coffee,
310,"good prices, easy access",high prices,showers and free drinks,
311,cleaner and faster,dirty,more benefits,no points values
312,1. cash price for productx.  2. more showers.  3. restaurant,bad experience,points on all transactions with card,
313,showers - chesters chicken,parking,,
314,it just is,it don’t,it just is,it not
315,fast,people,,
316,convenience,compx,all /every thing in store/not food compx,food only
317,clean facilities - showers,dirty stores - indifferent attendants,,
319,it just seems to come up when I need productx,convenience,coupons for food and accessories,cant use points except online
320,,,,
321,,,,
322,showers,no comdata cards,on any product,send in
323,give me points and free refills on mug and give discount on comdata and no fee,most expensive productx,they also put drink on card so if I productx at night I can get shower at night and coffee in the morning,"got a get a coupon for $5 then use all at once, point expire"
324,handy easy access,hard to get in higher prices,you can cash in without hassel,you have to run them through a machine then get a coupon a carry it back and go through 2 or 3 other things to get it cashed in
325,food parking,poor parking,food credit,
326,parking,,on the card,
327,showers and parking,they don’t take comdata restaurants arent very good,you can buy anything but tobacco,
328,easy in and out good showers,too much hassel,lots of locations,
329,convenience,no good service,point turn to novel,don’t have
330,,,,dirty
332,*,I just don’t like them,you can put money on card,
333,people,people,1000 quantp unlimited showers,send out coupons
334,more locations,less avaliability,eat with card,
335,fast and comfortable easy way,,point,
336,"restaurant, refills on soda, showers",rude people,unlimited showers and refills,cause you have get the paper certificats to buy anything
337,restaurant,they are a**holes,easy to use get benefits right away,mail your point rewards
340,,bad food pricing of productx,1 cent discount,
341,cleaner restrooms,wont take productx card,easy to find what you got,cant productx there
342,big lots idel air good eating area,not trucking friendly,getting points for almost everything,not a lot of payback
343,pay system - showers,pay system,,
345,cleanliness,people,bonus,limited
346,,employees,,
347,nicer showers restaurants,high cost,,
349,"productx price, checks without NATSO",NATSO,you can use points at truck stop,
351,more than a customer,inexperienced customers that stop there,points,loose points and showers
352,free coffee always helps nice showers convenience,inconvenience,showers/refills,just don’t use it
354,,,shower does not expire.  If I need a shower I should get one,shower expires
355,generally more showers but wish employees to better pride in clean showers especially I81xt291,company gets discount,ultimate drinks and showers as well as points,compy
356,"faster service, clean showers, better productx",parking spots,can use it toward tires,
357,fast service,"slow, crowded",coffee,no coffee hard to access points
358,"food, big store, TV lounge",,use,
360,convenient,,points count for more,have to wait for specific amount of points to start spending them
362,"showers, bigger",,save money on showers,location service
363,great price of productx service is good,not enough parking at most compy,"I can buy anything I want on my crusing my card, or get drink after buying amount of gal of productx",
364,its new and has plenty of parking,over crowded and dirty,purchase food with their card,
365,getting in and out fast,,,
367,seem to have more parking,do not take visa card,cash back on purchases at shopstops,
368,,,,
370,customer service and cleanliness,because the truck stop showers are dirty and service is bad,it has rewards program that lets you use it on anything,parking spots are cramped and service is lousy
371,"coffee, microwave, productx",parking lots,,
372,am set up with check cashing at all locations which saves time and offers discounts.  At shopstops I am approved through natso but delays are always applicable when checking out.,"do not keep restrooms and showers clean as I would expect, and do not offer good healthy eating facilities at all locations",,
373,in and out,,I don’t know,
374,"productx prices, friendly and accomidating, provides needs","high prices, unorganized",,
375,prices and service and clean showers,prices for everything.  shopstops has no laudremats,,cant use it in the stores
376,good showers big parking lots,too small - parking lots no laundry no restraunts,,can only access points with the coupons
377,productx and go,don’t like set up,buy more,have to save points before using
378,productx kickback,they suck,,
380,,food/cleanliness,,
381,,,,
382,,,showers stick 4 full 30 days,1 week on showers; might be confusing with compT
383,none,I don’t like them,not sure,they tell you were to use it
384,approval at the pumps for productxing,anything to do with getting productx,instant use of points,having to print out slips instead of giving card to clerk
386,fast in and out,not clean,great for everything,can not get free drinks with productx
387,cost of productx,cost of productx/quality of productx,,no team shower unless specified at time of productx
388,"good productx, easy access and discounted pricing",bad productx hard to get to the pumps,,
390,drinks - showers - non smoking,smoke in them,drinks - showers,
391,quicker service,friendly service,can buy anything in store,
392,showers - drinks,full of cigarette smoke,showers - drinks,
394,,,,
395,lower price,price,,
396,"productx, shower, service, and food are all great",don’t like the productx prices,shower and drinks,compT bought compTRO and now makes changes
397,good coffee and productx discount,do not take my productx card and too slow at counter,I can use my points at one of the food places,cant get points at restaurant
398,clean showers,nasty dirty unfriendly,easy point purchases,poor services
